Fecha,tas [K]
1870-12-16 12:00:00,291.00497
1871-01-16 12:00:00,290.61774
1871-02-15 00:00:00,290.90503
1871-03-16 12:00:00,291.1518
1871-04-16 00:00:00,291.341
1871-05-16 12:00:00,291.4685
1871-06-16 00:00:00,290.41132
1871-07-16 12:00:00,286.9532
1871-08-16 12:00:00,288.45032
1871-09-16 00:00:00,289.42874
1871-10-16 12:00:00,289.5459
1871-11-16 00:00:00,289.4462
1871-12-16 12:00:00,290.08246
1872-01-16 12:00:00,290.34863
1872-02-15 12:00:00,291.53406
1872-03-16 12:00:00,291.57565
1872-04-16 00:00:00,291.67715
1872-05-16 12:00:00,292.23206
1872-06-16 00:00:00,291.4239
1872-07-16 12:00:00,289.55048
1872-08-16 12:00:00,288.01514
1872-09-16 00:00:00,289.35657
1872-10-16 12:00:00,289.39294
1872-11-16 00:00:00,289.77374
1872-12-16 12:00:00,290.90924
1873-01-16 12:00:00,291.54022
1873-02-15 00:00:00,291.84137
1873-03-16 12:00:00,292.74432
1873-04-16 00:00:00,293.23672
1873-05-16 12:00:00,293.08478
1873-06-16 00:00:00,292.10077
1873-07-16 12:00:00,289.6132
1873-08-16 12:00:00,289.80426
1873-09-16 00:00:00,288.9493
1873-10-16 12:00:00,289.13278
1873-11-16 00:00:00,289.45462
1873-12-16 12:00:00,291.31726
1874-01-16 12:00:00,292.6742
1874-02-15 00:00:00,291.92578
1874-03-16 12:00:00,292.6811
1874-04-16 00:00:00,292.64722
1874-05-16 12:00:00,292.5415
1874-06-16 00:00:00,290.67822
1874-07-16 12:00:00,290.08386
1874-08-16 12:00:00,289.75897
1874-09-16 00:00:00,290.17566
1874-10-16 12:00:00,290.14783
1874-11-16 00:00:00,289.7895
1874-12-16 12:00:00,290.441
1875-01-16 12:00:00,290.73492
1875-02-15 00:00:00,291.6872
1875-03-16 12:00:00,292.3787
1875-04-16 00:00:00,292.676
1875-05-16 12:00:00,291.28424
1875-06-16 00:00:00,289.44867
1875-07-16 12:00:00,288.8034
1875-08-16 12:00:00,290.04462
1875-09-16 00:00:00,290.58063
1875-10-16 12:00:00,290.74774
1875-11-16 00:00:00,290.89215
1875-12-16 12:00:00,290.35797
1876-01-16 12:00:00,291.74533
1876-02-15 12:00:00,292.23862
1876-03-16 12:00:00,292.69388
1876-04-16 00:00:00,292.1385
1876-05-16 12:00:00,291.34973
1876-06-16 00:00:00,290.64148
1876-07-16 12:00:00,290.61008
1876-08-16 12:00:00,290.2623
1876-09-16 00:00:00,290.72382
1876-10-16 12:00:00,290.38953
1876-11-16 00:00:00,290.0771
1876-12-16 12:00:00,291.59213
1877-01-16 12:00:00,292.0758
1877-02-15 00:00:00,292.2733
1877-03-16 12:00:00,292.2183
1877-04-16 00:00:00,292.8875
1877-05-16 12:00:00,291.76697
1877-06-16 00:00:00,291.75748
1877-07-16 12:00:00,288.96722
1877-08-16 12:00:00,288.9308
1877-09-16 00:00:00,288.82263
1877-10-16 12:00:00,289.14117
1877-11-16 00:00:00,289.50815
1877-12-16 12:00:00,290.3714
1878-01-16 12:00:00,291.58917
1878-02-15 00:00:00,291.8833
1878-03-16 12:00:00,293.32068
1878-04-16 00:00:00,292.1728
1878-05-16 12:00:00,289.78937
1878-06-16 00:00:00,290.43103
1878-07-16 12:00:00,289.9038
1878-08-16 12:00:00,287.91382
1878-09-16 00:00:00,289.13696
1878-10-16 12:00:00,289.67963
1878-11-16 00:00:00,289.47662
1878-12-16 12:00:00,290.72604
1879-01-16 12:00:00,290.9344
1879-02-15 00:00:00,292.0509
1879-03-16 12:00:00,291.93805
1879-04-16 00:00:00,293.4245
1879-05-16 12:00:00,292.51346
1879-06-16 00:00:00,289.66327
1879-07-16 12:00:00,289.64813
1879-08-16 12:00:00,289.44022
1879-09-16 00:00:00,290.39417
1879-10-16 12:00:00,289.57385
1879-11-16 00:00:00,289.83063
1879-12-16 12:00:00,290.81763
1880-01-16 12:00:00,291.5588
1880-02-15 12:00:00,293.00153
1880-03-16 12:00:00,293.39465
1880-04-16 00:00:00,292.61197
1880-05-16 12:00:00,292.61365
1880-06-16 00:00:00,288.69763
1880-07-16 12:00:00,290.12976
1880-08-16 12:00:00,290.18884
1880-09-16 00:00:00,288.64517
1880-10-16 12:00:00,290.3735
1880-11-16 00:00:00,289.11142
1880-12-16 12:00:00,290.63336
1881-01-16 12:00:00,292.20966
1881-02-15 00:00:00,293.1129
1881-03-16 12:00:00,292.1292
1881-04-16 00:00:00,292.11285
1881-05-16 12:00:00,291.13382
1881-06-16 00:00:00,291.9055
1881-07-16 12:00:00,290.01514
1881-08-16 12:00:00,287.84363
1881-09-16 00:00:00,289.48764
1881-10-16 12:00:00,289.57703
1881-11-16 00:00:00,288.95416
1881-12-16 12:00:00,290.41702
1882-01-16 12:00:00,290.9328
1882-02-15 00:00:00,290.88043
1882-03-16 12:00:00,291.96375
1882-04-16 00:00:00,291.8778
1882-05-16 12:00:00,290.9257
1882-06-16 00:00:00,291.75342
1882-07-16 12:00:00,289.89362
1882-08-16 12:00:00,289.08148
1882-09-16 00:00:00,289.10724
1882-10-16 12:00:00,288.50146
1882-11-16 00:00:00,288.7204
1882-12-16 12:00:00,289.38165
1883-01-16 12:00:00,290.59155
1883-02-15 00:00:00,291.7118
1883-03-16 12:00:00,291.74646
1883-04-16 00:00:00,291.24243
1883-05-16 12:00:00,291.64896
1883-06-16 00:00:00,291.6294
1883-07-16 12:00:00,289.2273
1883-08-16 12:00:00,288.63123
1883-09-16 00:00:00,289.61066
1883-10-16 12:00:00,288.03522
1883-11-16 00:00:00,289.15277
1883-12-16 12:00:00,290.70386
1884-01-16 12:00:00,291.63092
1884-02-15 12:00:00,291.4964
1884-03-16 12:00:00,292.47754
1884-04-16 00:00:00,292.0942
1884-05-16 12:00:00,290.8421
1884-06-16 00:00:00,291.26404
1884-07-16 12:00:00,289.38104
1884-08-16 12:00:00,288.2591
1884-09-16 00:00:00,290.01056
1884-10-16 12:00:00,288.807
1884-11-16 00:00:00,288.30847
1884-12-16 12:00:00,289.98694
1885-01-16 12:00:00,290.4916
1885-02-15 00:00:00,290.93744
1885-03-16 12:00:00,291.10364
1885-04-16 00:00:00,290.62094
1885-05-16 12:00:00,290.401
1885-06-16 00:00:00,288.26184
1885-07-16 12:00:00,290.0667
1885-08-16 12:00:00,288.779
